appid,name,developer,publisher,score_rank,owners,average_forever,average_2weeks,median_forever,median_2weeks,ccu,price,initialprice,discount,tags,languages,genre
2669320,EA SPORTS FC 25,"EA Canada, EA Romania",Electronic Arts,,"1,000,000 .. 2,000,000",3788,521,2505,280,59423,2099.0,6999.0,70.0,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Full controller support, In-App Purchases, Remote Play Together, HDR available","English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Arabic<strong>*</strong>, Czech, Danish, Dutch<strong>*</strong>, Japanese<strong>*</strong>, Korean<strong>*</strong>, Norwegian, Polish<strong>*</strong>, Portuguese - Brazil<strong>*</strong>, Portuguese - Portugal, Russian<strong>*</strong>, Simplified Chinese<strong>*</strong>, Spanish - Latin America<strong>*</strong>, Swedish, Traditional Chinese, Turkish<br><strong>*</strong>languages with full audio support","Simulation, Sports"
2252570,Football Manager 2024,Sports Interactive,SEGA,,"500,000 .. 1,000,000",27236,2060,7734,1535,53168,5999.0,5999.0,0.0,"Single-player, Multi-player, Steam Achievements, Steam Cloud, Family Sharing","English, French, Italian, German, Spanish - Spain, Danish, Dutch, Greek, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Swedish, Turkish","Simulation, Sports, Strategy"
2878980,NBA 2K25,Visual Concepts,2K,,"200,000 .. 500,000",3792,740,2066,569,26410,6999.0,6999.0,0.0,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, In-App Purchases, Partial Controller Support, Steam Cloud, Remote Play Together, Family Sharing","English<strong>*</strong>, French, Italian, German, Spanish - Spain, Japanese, Korean, Simplified Chinese, Traditional Chinese<br><strong>*</strong>languages with full audio support","Simulation, Sports"
2300320,Farming Simulator 25,Giants Software,Giants Software,,"500,000 .. 1,000,000",4637,550,2122,360,20892,4999.0,4999.0,0.0,"Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","English<strong>*</strong>, French, Italian, German, Spanish - Spain, Czech, Danish, Dutch, Finnish, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Brazil, Portuguese - Portugal, Romanian, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Traditional Chinese, Turkish, Ukrainian, Vietnamese, Indonesian<br><strong>*</strong>languages with full audio support",Simulation
916440,Anno 1800,Ubisoft Mainz,Ubisoft,,"500,000 .. 1,000,000",3008,240,640,353,13117,599.0,5999.0,90.0,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Captions available","English<strong>*</strong>, French<strong>*</strong>, Italian, German<strong>*</strong>, Spanish - Spain, Japanese, Korean, Polish, Russian<strong>*</strong>, Simplified Chinese, Traditional Chinese<br><strong>*</strong>languages with full audio support","Simulation, Strategy"
1325860,VTube Studio,DenchiSoft,DenchiSoft,,"1,000,000 .. 2,000,000",1686,1,60,1,11525,0.0,0.0,0.0,"Single-player, Steam Workshop","English, Japanese, Simplified Chinese, Traditional Chinese","Indie, Animation & Modeling, Video Production"
2231380,Tom Clancy's Ghost Recon Breakpoint,Ubisoft Paris,Ubisoft,,"500,000 .. 1,000,000",1203,0,691,0,8929,599.0,5999.0,90.0,"Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Captions available, Partial Controller Support, HDR available","English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Arabic, Czech, Dutch, Japanese<strong>*</strong>, Korean, Portuguese - Brazil<strong>*</strong>, Russian<strong>*</strong>, Simplified Chinese, Spanish - Latin America<strong>*</strong>, Thai, Traditional Chinese<br><strong>*</strong>languages with full audio support","Action, Adventure"
2344520,Diablo IV,"Blizzard Entertainment, Inc.","Blizzard Entertainment, Inc.",,"1,000,000 .. 2,000,000",7381,161,5440,161,8172,4999.0,4999.0,0.0,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, In-App Purchases","English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Japanese<strong>*</strong>, Korean<strong>*</strong>, Polish<strong>*</strong>, Portuguese - Brazil<strong>*</strong>, Russian<strong>*</strong>, Spanish - Latin America<strong>*</strong>, Traditional Chinese<strong>*</strong>, Simplified Chinese<strong>*</strong>, Turkish<br><strong>*</strong>languages with full audio support","Action, RPG"
1874880,Arma Reforger,Bohemia Interactive,Bohemia Interactive,,"500,000 .. 1,000,000",4116,746,2020,573,7575,3999.0,3999.0,0.0,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Captions available, Steam Cloud, Family Sharing","English<strong>*</strong>, French, Italian, German, Czech, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Spain, Ukrainian<br><strong>*</strong>languages with full audio support","Action, Simulation, Strategy"
1283970,YoloMouse - Game Cursor Changer,Dragonrise Games,Dragonrise Games,,"500,000 .. 1,000,000",19514,5223,29155,10442,7113,399.0,399.0,0.0,"Steam Workshop, Includes level editor","English, Simplified Chinese","Animation & Modeling, Design & Illustration, Education, Software Training, Utilities"
1465360,SnowRunner,Saber Interactive,Focus Entertainment,,"500,000 .. 1,000,000",3861,1805,1405,2528,6182,1499.0,2999.0,50.0,"Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Family Sharing","English, French, Italian, German, Spanish - Spain, Czech, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese","Adventure, Simulation"
1778820,TEKKEN 8,Bandai Namco Studios Inc.,Bandai Namco Entertainment,,"1,000,000 .. 2,000,000",3788,1214,1740,2428,5608,6999.0,6999.0,0.0,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing","English<strong>*</strong>, French, Italian, German, Spanish - Spain, Arabic, Japanese, Korean, Portuguese - Brazil, Simplified Chinese, Traditional Chinese, Polish, Russian, Thai, Spanish - Latin America<br><strong>*</strong>languages with full audio support",Action
1267910,Melvor Idle,Games by Malcs,Jagex Ltd,,"500,000 .. 1,000,000",25369,3529,16915,7058,5533,999.0,999.0,0.0,"Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Portugal, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Turkish","Adventure, Casual, Indie, RPG"
1812620,DSX,Paliverse,Paliverse,,"500,000 .. 1,000,000",4709,1,2844,2,5245,799.0,799.0,0.0,"Single-player, Steam Achievements, Steam Workshop, Partial Controller Support, Steam Cloud, Steam Leaderboards","English, French, Italian, German, Arabic, Bulgarian, Danish, Dutch, Finnish, Hungarian, Korean, Norwegian, Polish, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Greek, Japanese, Portuguese - Portugal, Vietnamese",Utilities
1401590,Disney Dreamlight Valley,Gameloft,Gameloft,,"500,000 .. 1,000,000",10410,427,8583,816,5121,3999.0,3999.0,0.0,"Single-player, Multi-player, Full controller support, Family Sharing","English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Japanese, Simplified Chinese<br><strong>*</strong>languages with full audio support","Action, Adventure, Casual, RPG, Simulation"
2338770,NBA 2K24,Visual Concepts,2K,,"1,000,000 .. 2,000,000",2584,412,1036,412,4793,5999.0,5999.0,0.0,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, In-App Purchases, Partial Controller Support, Steam Cloud, Remote Play Together, Family Sharing","English<strong>*</strong>, French, Italian, German, Spanish - Spain, Japanese, Korean, Simplified Chinese, Traditional Chinese<br><strong>*</strong>languages with full audio support","Simulation, Sports"
2051620,Enlisted: Reinforced,Darkflow Software,Gaijin Network Ltd,,"500,000 .. 1,000,000",1138,1067,168,1517,4685,0.0,0.0,0.0,"Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, In-App Purchases","English<strong>*</strong>, French, German<strong>*</strong>, Japanese<strong>*</strong>, Korean, Polish, Russian<strong>*</strong>, Simplified Chinese, Spanish - Latin America<br><strong>*</strong>languages with full audio support","Action, Massively Multiplayer, Free To Play"
690830,Foundation,Polymorph Games,Polymorph Games,,"500,000 .. 1,000,000",1004,238,436,351,4505,3499.0,3499.0,0.0,"Single-player, Steam Achievements, Steam Cloud, Family Sharing","English, French, Italian, German, Spanish - Spain, Russian, Portuguese - Brazil, Simplified Chinese, Japanese, Korean, Polish, Swedish, Turkish, Vietnamese, Czech, Thai, Ukrainian","Indie, Simulation, Strategy"
2437170,SMITE 2,Titan Forge Games,Hi-Rez Studios,,"500,000 .. 1,000,000",891,574,105,830,4338,0.0,0.0,0.0,"Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, In-App Purchases","English<strong>*</strong>, French, German, Japanese, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Turkish, Spanish - Latin America, Ukrainian<br><strong>*</strong>languages with full audio support","Action, Adventure, Casual, Massively Multiplayer, RPG, Strategy, Free To Play, Early Access"
1677280,Company of Heroes 3,Relic Entertainment,Relic Entertainment,,"500,000 .. 1,000,000",3838,560,1620,1074,4216,5999.0,5999.0,0.0,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Workshop, Stats, Family Sharing","English<strong>*</strong>, French, Italian, German, Spanish - Spain, Czech, Korean, Polish, Simplified Chinese, Traditional Chinese, Japanese, Portuguese - Brazil, Turkish<br><strong>*</strong>languages with full audio support","Action, Strategy"
1119730,"Ranch Simulator: Build, Hunt, Farm",Toxic Dog,Excalibur Games,,"1,000,000 .. 2,000,000",632,967,242,164,4184,2499.0,2499.0,0.0,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Full controller support, Steam Cloud, Family Sharing","English, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Turkish, Korean, Polish",Simulation
